"","Fmla","RMSE","r2","Nodes"
"1","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + Temp..of.NSEC.Main.Ch.",0.0669767212660723,0.702062138267829,"2,1"
"2","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + Temp..of.the.Atmos.",0.262062635237592,0.609587492400026,"2,1"
"3","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + Secondary.Effluent.Flow",0.0318858721506758,0.750988367416394,"2,1"
"4","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + N..Basin.Outfall",0.018903416924638,0.732817751412127,"2,1"
"5","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + CODto..mg.L.",0.161837195975556,0.640054048913326,"2,1"
"6","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + TSS..mg.L.",0.468986751362735,0.262965064570946,"2,1"
"7","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + UVT....",0.159980167170356,0.641902096546793,"2,1"
"8","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + CODds..mg.L.",0.195289232474543,0.615761981214851,"2,1"
"9","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + SACto..1.m.",0.206184142383479,0.609423202363576,"2,1"
"10","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Aerobic.SRT",0.217221702022781,0.604212350517316,"2,1"
"11","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Effluent.NH3",0.377686599654152,0.599412501135245,"2,1"
"12","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Effluent.NO3",0.0904364387150336,0.703397992904918,"2,1"
"13","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Effluent.OP",0.263404327583757,0.603758425151263,"2,1"
"14","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Effluent.TSS",0.220090708915467,0.604827868232928,"2,1"
"15","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Effluent.NO5",0.221114119433244,0.645597679790787,"2,1"
"16","Pump.Flow.Based.PAA.Dose + N..Eff..TSS.Conc. + NSEC.Effluent.Flow",0.0609510335457315,0.716935061858154,"2,1"
"17","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + Temp..of.the.Atmos.",0.0415531912026752,0.707168212747624,"2,1"
"18","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + Secondary.Effluent.Flow",0.0059713861211701,0.77402774780949,"2,1"
"19","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + N..Basin.Outfall",0.020647511349815,0.749661254920289,"2,1"
"20","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + CODto..mg.L.",0.0686926504026077,0.697975956931788,"2,1"
"21","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + TSS..mg.L.",0.468521386144127,0.0456855985500338,"2,1"
"22","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + UVT....",0.166474987811758,0.617292938463453,"2,1"
"23","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + CODds..mg.L.",0.0564273009436345,0.678906263299092,"2,1"
"24","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + SACto..1.m.",0.157411594107655,0.666418630177151,"2,1"
"25","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Aerobic.SRT",0.0878729618670169,0.682508402063896,"2,1"
"26","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Effluent.NH3",0.580048140898157,0.61741994325809,"2,1"
"27","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Effluent.NO3",0.179650558762619,0.653126635407833,"2,1"
"28","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Effluent.OP",0.247626417030435,0.62076990255276,"2,1"
"29","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Effluent.TSS",0.102679053458598,0.68014050102851,"2,1"
"30","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Effluent.NO5",0.0889166096678708,0.688213310039496,"2,1"
"31","Pump.Flow.Based.PAA.Dose + Temp..of.NSEC.Main.Ch. + NSEC.Effluent.Flow",0.090303797440163,0.738773721795284,"2,1"
"32","Pump.Flow.Based.PAA.Dose + Temp..of.the.Atmos. + Secondary.Effluent.Flow",0.109814980279647,0.764610426303035,"2,1"
"33","Pump.Flow.Based.PAA.Dose + Temp..of.the.Atmos. + N..Basin.Outfall",0.109750910929886,0.769307128547847,"2,1"
"34","Pump.Flow.Based.PAA.Dose + Temp..of.the.Atmos. + CODto..mg.L.",0.321585336583614,0.638210928778234,"2,1"
"35","Pump.Flow.Based.PAA.Dose + Temp..of.the.Atmos. + TSS..mg.L.",0.314121257019149,0.683486979156908,"2,1"
