Trigger Time,NPRI_1_2,NPRI_3_6,NewTSS,\Labworks Data\1920-NPRIC 1-3 Eff|TSS_FC24,\Labworks Data\1910-NPRIC 4-6 Eff|TSS_FC24
4/27/2018 8:00:00 AM,True,True,74.5,72,77
4/28/2018 8:00:00 AM,True,True,69,69,69
4/29/2018 8:00:00 AM,True,True,79.5,76,83
4/30/2018 8:00:00 AM,True,True,87,88,86
5/1/2018 8:00:00 AM,True,True,90,88,92
5/2/2018 8:00:00 AM,True,True,88.5,87,90
5/3/2018 8:00:00 AM,True,True,83,82,84
5/4/2018 8:00:00 AM,True,True,70.5,68,73
5/5/2018 8:00:00 AM,True,True,74.5,72,77
5/6/2018 8:00:00 AM,True,True,87.5,85,90
5/7/2018 8:00:00 AM,True,True,73,71,75
5/8/2018 8:00:00 AM,True,True,85.5,83,88
5/9/2018 8:00:00 AM,True,True,91,88,94
5/10/2018 8:00:00 AM,True,True,78.5,77,80
5/11/2018 8:00:00 AM,True,True,81.5,79,84
5/12/2018 8:00:00 AM,True,True,69,69,69
5/13/2018 8:00:00 AM,True,True,70,69,71
5/14/2018 8:00:00 AM,True,True,80,76,84
5/15/2018 8:00:00 AM,True,True,123,162,84
5/16/2018 8:00:00 AM,True,True,79.5,75,84
5/17/2018 8:00:00 AM,True,True,88,84,92
5/18/2018 8:00:00 AM,True,True,80,78,82
5/19/2018 8:00:00 AM,True,True,75.5,76,75
5/20/2018 8:00:00 AM,True,True,80,77,83
5/21/2018 8:00:00 AM,True,True,84.5,85,84
5/22/2018 8:00:00 AM,True,True,78,76,80
5/23/2018 8:00:00 AM,True,True,76,76,76
5/24/2018 8:00:00 AM,True,True,76.5,71,82
5/25/2018 8:00:00 AM,True,True,77.5,71,84
5/26/2018 8:00:00 AM,True,True,77,72,82
5/28/2018 8:00:00 AM,True,True,80,74,86
5/29/2018 8:00:00 AM,True,True,78.5,77,80
5/30/2018 8:00:00 AM,True,True,80,77,83
5/31/2018 8:00:00 AM,True,True,69.5,67,72
6/1/2018 8:00:00 AM,True,True,65,63,67
6/2/2018 8:00:00 AM,True,True,78,77,79
6/3/2018 8:00:00 AM,True,True,72,70,74
6/4/2018 8:00:00 AM,True,True,70,68,72
6/5/2018 8:00:00 AM,True,True,74.5,74,75
6/6/2018 8:00:00 AM,True,True,75.5,74,77
6/7/2018 8:00:00 AM,True,True,67,67,67
6/8/2018 8:00:00 AM,True,True,79.5,80,79
6/9/2018 8:00:00 AM,True,True,63.5,67,60
6/10/2018 8:00:00 AM,True,True,73.5,72,75
6/11/2018 8:00:00 AM,True,True,71,71,71
6/12/2018 8:00:00 AM,True,True,73.5,75,72
6/13/2018 8:00:00 AM,True,True,73,76,70
6/14/2018 8:00:00 AM,True,True,63,64,62
