"","Timestamp","Value"
"147",2018-07-06 10:32:00,31300
"148",2018-07-07 09:32:00,17200
"149",2018-07-08 12:10:00,17800
"150",2018-07-09 13:22:00,21900
"151",2018-07-10 07:27:00,15200
"152",2018-07-11 11:17:00,12200
"153",2018-07-12 06:45:00,13000
"154",2018-07-13 12:33:00,11100
"155",2018-07-14 13:53:00,8200
"156",2018-07-15 07:25:00,8550
"157",2018-07-16 07:00:00,9320
"158",2018-07-17 06:47:00,15200
"159",2018-07-18 08:11:00,24800
"160",2018-07-19 07:22:00,11500
"161",2018-07-20 13:41:00,17200
"162",2018-07-21 10:17:00,7800
"163",2018-07-22 12:37:00,13300
"164",2018-07-23 13:37:00,15500
"165",2018-07-24 07:34:00,14000
"166",2018-07-25 07:59:00,20100
"167",2018-07-26 08:09:00,24800
"168",2018-07-27 00:00:00,29100
"169",2018-07-28 07:27:00,38700
"170",2018-07-29 11:38:00,13500
"171",2018-07-30 06:40:00,20500
"172",2018-07-31 08:09:00,10100
"173",2018-08-02 07:21:00,9060
"174",2018-08-03 09:03:00,11800
"175",2018-08-04 13:18:00,8330
"176",2018-08-05 10:25:00,4570
"177",2018-08-06 07:17:00,8390
"178",2018-08-07 08:08:00,14000
"179",2018-08-08 06:37:00,18700
"180",2018-08-09 07:27:00,14200
"181",2018-08-10 13:23:00,14700
"182",2018-08-11 09:25:00,16700
"183",2018-08-12 13:16:00,11400
"184",2018-08-13 13:40:00,26100
"185",2018-08-14 07:23:00,27600
"186",2018-08-15 12:02:00,29900
"187",2018-08-16 09:02:00,15200
"188",2018-08-17 07:33:00,26100
"189",2018-08-19 12:40:00,11400
"190",2018-08-20 07:02:00,32600
"191",2018-08-21 10:28:00,23800
"192",2018-08-22 07:40:00,16100
"193",2018-08-23 08:40:00,13500
"194",2018-08-24 13:14:00,19900
"195",2018-08-25 10:48:00,13500
"196",2018-08-26 12:54:00,12700
"197",2018-08-27 08:25:00,20600
"198",2018-08-28 07:57:00,27600
"199",2018-08-29 11:05:00,41100
"200",2018-08-30 13:44:00,46100
"201",2018-08-31 13:45:00,46100
"202",2018-09-01 11:02:00,51700
"203",2018-09-02 07:59:00,36100
"204",2018-09-03 06:48:00,36500
"205",2018-09-04 13:54:00,51700
"206",2018-09-05 12:24:00,61300
"207",2018-09-06 13:38:00,36500
"208",2018-09-07 10:58:00,13500
"209",2018-09-08 13:38:00,16100
"210",2018-09-09 07:26:00,11100
"211",2018-09-10 07:14:00,17800
"212",2018-09-11 13:04:00,17900
"213",2018-09-12 13:41:00,9100
"214",2018-09-13 13:08:00,15000
"215",2018-09-14 13:10:00,13500
"216",2018-09-15 09:38:00,7670
"217",2018-09-16 10:25:00,6160
"218",2018-09-17 14:27:00,19200
"219",2018-09-18 13:22:00,12900
"220",2018-09-19 14:02:00,14000
"221",2018-09-20 13:56:00,27600
"222",2018-09-21 12:52:00,23600
"223",2018-09-22 11:38:00,9900
"224",2018-09-23 10:30:00,4730
"225",2018-09-24 13:37:00,8840
"226",2018-09-25 13:49:00,17800
"227",2018-09-26 11:33:00,15300
"228",2018-09-27 14:24:00,21400
"229",2018-09-28 13:43:00,17900
"230",2018-09-29 13:40:00,20400
"231",2018-09-30 13:57:00,11100
"232",2018-10-01 14:57:00,15200
"233",2018-10-02 14:28:00,11400
"234",2018-10-03 14:26:00,15700
"235",2018-10-04 13:23:00,11400
"236",2018-10-05 08:12:00,9330
"237",2018-10-06 13:58:00,15500
"238",2018-10-07 12:25:00,13300
"239",2018-10-08 14:29:00,19400
"240",2018-10-09 07:20:00,10400
"241",2018-10-10 07:52:00,13800
"242",2018-10-11 14:05:00,17900
"243",2018-10-12 11:04:00,16700
"244",2018-10-13 09:08:00,21900
"245",2018-10-14 13:38:00,17200
"246",2018-10-15 12:21:00,21400
"247",2018-10-16 12:12:00,32600
"248",2018-10-17 14:30:00,29100
"249",2018-10-18 09:15:00,32600
"250",2018-10-19 07:31:00,51700
"251",2018-10-20 15:04:00,20100
"252",2018-10-21 10:34:00,11500
"253",2018-10-22 11:10:00,10400
"254",2018-10-23 12:43:00,12400
"255",2018-10-24 09:47:00,17200
"256",2018-10-25 09:19:00,10400
"257",2018-10-26 07:06:00,17300
"258",2018-10-27 06:44:00,16700
"259",2018-10-28 08:02:00,26100
"260",2018-10-29 06:42:00,17800
"261",2018-10-30 08:14:00,11100
"262",2018-10-31 07:46:00,11800
"263",2018-11-01 10:04:00,6840
"264",2018-11-02 06:44:00,10200
"265",2018-11-03 13:18:00,13700
"266",2018-11-04 07:36:00,7540
"267",2018-11-05 15:04:00,17900
"268",2018-11-06 07:05:00,13300
"269",2018-11-07 07:29:00,9080
"270",2018-11-08 13:08:00,13800
"271",2018-11-09 09:07:00,16600
"272",2018-11-10 06:36:00,20100
"273",2018-11-11 14:32:00,36500
"274",2018-11-12 11:08:00,24800
"275",2018-11-13 08:23:00,13800
"276",2018-11-14 13:28:00,16100
"277",2018-11-15 15:04:00,12600
"278",2018-11-16 09:05:00,16000
"279",2018-11-17 07:22:00,12900
"280",2018-11-18 11:13:00,10400
"281",2018-11-19 10:20:00,14700
"282",2018-11-20 06:35:00,11500
"283",2018-11-21 06:41:00,19400
"284",2018-11-22 12:03:00,10400
"285",2018-11-23 11:19:00,9850
"286",2018-11-24 09:13:00,16000
"287",2018-11-25 15:04:00,23600
"288",2018-11-26 13:21:00,21900
"289",2018-11-27 09:39:00,48800
"290",2018-11-28 15:11:00,46100
"291",2018-11-29 08:10:00,51700
"292",2018-11-30 11:21:00,11200
"293",2018-12-01 14:21:00,21400
"294",2018-12-02 06:40:00,24800
"295",2018-12-03 08:03:00,15200
"296",2018-12-04 12:13:00,13100
"297",2018-12-05 09:15:00,12200
"298",2018-12-06 11:33:00,11400
"299",2018-12-07 11:20:00,20500
"300",2018-12-08 09:30:00,21000
"301",2018-12-09 06:47:00,68700
"302",2018-12-10 15:05:00,48800
"303",2018-12-11 08:45:00,46100
