date.time,Sample.Loc,Ecoli.measured,DIS.North.Flow,PAA.Setpoint,HRT.min,Sample.Event
6/24/2019 7:38,1 N_PREPAA,9320,76.70173,1.8,0,1
6/24/2019 7:42,1 NPAA1MIN,6630,79.84637,1.8,1.4979152,1
6/24/2019 7:46,1 NPAA10MN,41,79.5757751,1.8,11.5776723,1
6/24/2019 7:54,1 NPAA30MN,40,95.61575,1.8,14.3609791,1
6/24/2019 10:53,2 N_PREPAA,8570,80.1738052,1.8,0,2
6/24/2019 10:57,2 NPAA1MIN,4650,93.15938,1.8,0.819352,2
6/24/2019 11:02,2 NPAA10MN,222,94.70954,1.8,5.8670846,2
6/24/2019 11:12,2 NPAA30MN,36,93.20077,1.8,15.8738843,2
6/24/2019 12:57,3 N_PREPAA,8890,66.6210861,1.8,0,3
6/24/2019 13:02,3 NPAA1MIN,9590,78.15968,1.8,1.6784711,3
6/24/2019 13:05,3 NPAA10MN,461,80.3982239,1.8,10.5776702,3
6/24/2019 13:15,3 NPAA30MN,35,78.68858,1.8,32.8863309,3
6/25/2019 7:47,1 N_PREPAA,9060,68.88229,1.8,0,4
6/25/2019 7:56,1 NPAA1MIN,8390,71.30962,1.8,1.9964956,4
6/25/2019 8:04,1 NPAA10MN,50,70.60121,1.8,15.6472616,4
6/25/2019 8:18,1 NPAA30MN,24,80.13951,1.8,28.8318657,4
6/25/2019 10:59,2 N_PREPAA,12200,54.76278,1.8,0,5
6/25/2019 11:04,2 NPAA1MIN,11100,81.0841141,1.8,1.3241364,5
6/25/2019 11:10,2 NPAA10MN,163,80.33447,1.8,10.7461463,5
6/25/2019 11:23,2 NPAA30MN,58,80.60735,1.8,27.4817248,5
6/25/2019 13:02,3 N_PREPAA,15500,75.2175446,1.8,0,6
6/25/2019 13:09,3 NPAA1MIN,14700,53.83761,1.8,2.1672063,6
6/25/2019 13:19,3 NPAA10MN,313,55.4583549,1.8,16.2221189,6
6/25/2019 13:33,3 NPAA30MN,68,53.7636375,1.8,44.1651018,6
6/27/2019 7:38,1 N_PREPAA,20500,80.03784,1.8,0,7
6/27/2019 7:44,1 NPAA1MIN,9600,92.0903549,1.8,0.8524762,7
6/27/2019 7:51,1 NPAA10MN,96,80.68048,1.8,10.4145112,7
6/27/2019 8:05,1 NPAA30MN,76,91.4162,1.8,16.9970788,7
6/27/2019 11:04,2 N_PREPAA,17200,74.97033,1.8,0,8
6/27/2019 11:09,2 NPAA1MIN,9100,90.0096054,1.8,0.9099194,8
6/27/2019 11:14,2 NPAA10MN,184,90.4351654,1.8,6.7228468,8
6/27/2019 11:26,2 NPAA30MN,88,75.18873,1.8,37.8882115,8
6/27/2019 13:18,3 N_PREPAA,13300,78.72417,1.8,0,9
6/27/2019 13:22,3 NPAA1MIN,11000,71.18074,1.8,2.0191585,9
6/27/2019 13:28,3 NPAA10MN,365,73.11069,1.8,14.9425779,9
6/27/2019 13:38,3 NPAA30MN,64,77.61738,1.8,34.5103127,9
6/28/2019 7:27,1 N_PREPAA,16600,78.96552,1.8,0,10
6/28/2019 7:36,1 NPAA1MIN,8600,86.6285,1.8,1.0296883,10
6/28/2019 7:47,1 NPAA10MN,74,79.3255539,1.8,11.8849377,10
6/28/2019 8:05,1 NPAA30MN,76,86.3008347,1.8,20.4964143,10
6/28/2019 11:08,2 N_PREPAA,6840,82.40839,1.8,0,11
6/28/2019 11:18,2 NPAA1MIN,3640,84.34804,1.8,1.1724868,11
6/28/2019 11:32,2 NPAA10MN,308,85.00676,1.8,8.7374348,11
6/28/2019 11:51,2 NPAA30MN,45,82.18355,1.8,24.6104154,11
6/28/2019 13:15,3 N_PREPAA,10100,74.4371,1.8,0,12
6/28/2019 13:23,3 NPAA1MIN,6240,80.98813,1.8,1.3337669,12
6/28/2019 13:35,3 NPAA10MN,150,81.29375,1.8,9.8102787,12
6/28/2019 13:52,3 NPAA30MN,70,80.74371,1.8,27.0599061,12
7/1/2019 7:42,1 N_PREPAA,16200,77.451,1.8,0,13
7/1/2019 7:46,1 NPAA1MIN,8600,80.9033356,1.8,1.3534706,13
