,Chemscan,
7/14/2019 7:37,2.657340866,29.45236778
7/14/2019 11:06,7.007259337,60.96715546
7/14/2019 13:06,11.98349993,94.52207947
7/15/2019 7:43,5.545973902,34.87511826
7/15/2019 11:09,12.10807376,78.8607254
7/15/2019 13:06,10.84688892,86.26199341
7/18/2019 7:34,1.195105857,31.12738991
7/18/2019 11:11,14.84702959,76.28702545
7/18/2019 13:07,13.84650101,82.88904572
7/20/2019 11:11,12.10614994,57.2521286
7/20/2019 13:08,14.6980687,72.36914825
