"","master.timestamps","file"
"1",1561383720,1.334249
"2",1561383960,1.28923476
"3",1561384140,1.34538794
"4",1561384440,1.71374071
"5",1561395420,1.04844725
"6",1561395720,1.24010062
"7",1561395960,1.14641047
"8",1561396320,1.17998016
"9",1561402920,1.46242476
"10",1561403100,1.46242476
"11",1561403400,1.44335127
"12",1561403700,1.31166565
"13",1561470960,1.59746706
"14",1561471440,1.65026331
"15",1561471800,1.59746706
"16",1561472280,1.29274428
"17",1561482240,1.033341
"18",1561482600,1.199054
"19",1561482960,1.05577171
"20",1561483380,1.07469285
"21",1561489740,1.2327764
"22",1561490340,1.28923476
"23",1561490700,1.2252996
"24",1561491180,1.37178612
"25",1561643040,0.499580473
"26",1561643460,0.699015856
"27",1561643820,0.7740902
"28",1561644300,0.687418938
"29",1561655340,0.6610208
"30",1561655640,0.6083771
"31",1561656000,0.6083771
"32",1561656360,0.6800945
"33",1561663320,0.717937
"34",1561663680,0.811780035
"35",1561663920,0.717937
"36",1561664280,0.6312657
"37",1561728960,0.6839094
"38",1561729620,0.796215832
"39",1561730160,0.7516595
"40",1561730700,0.7516595
"41",1561742280,0.476691872
"42",1561743120,0.48477903
"43",1561743600,0.56733036
"44",1561744260,0.5448997
"45",1561749780,0.5185016
"46",1561750500,0.5220111
"47",1561750980,0.476691872
"48",1561751520,0.5746548
"49",1561988760,0.7927061
"50",1561988940,0.8830396
"51",1561989180,0.867933154
"52",1561989420,0.85313195
"53",1562001240,0.6839094
"54",1562001600,0.7362478
"55",1562001960,0.7063401
"56",1562002320,0.7063401
"57",1562008200,0.901655555
"58",1562008560,0.8455024
"59",1562008980,0.8830396
"60",1562009460,0.867933154
"61",1562074560,0.435645044
"62",1562075100,0.5073624
"63",1562075460,0.476691872
"64",1562075820,0.5220111
"65",1562087460,0.379491866
"66",1562087940,0.375677168
"67",1562088300,0.5185016
"68",1562088720,0.420538664
"69",1562094180,0.5220111
"70",1562094600,0.5259786
"71",1562094960,0.48828873
"72",1562095320,0.5185016
"73",1562593020,0.09369046
"74",1562593440,0.09369046
"75",1562593800,0.130922332
"76",1562594160,0.10879688
"77",1562605560,0.266727716
"78",1562606040,0.323033482
"79",1562606400,0.3341726
"80",1562606820,0.3341726
"81",1562613000,0.28152895
"82",1562613480,0.311741769
"83",1562613780,0.311741769
"84",1562614200,0.315251321
"85",1562765820,0.0410467833
"86",1562766120,0.0410467833
"87",1562766360,0.07827887
"88",1562766660,0.07827887
"89",1562778780,0.0634776354
"90",1562779020,0.0634776354
"91",1562779260,0.05264368
