"","","file.avg"
"201","2018-09-03 06:48:00","22"
"202","2018-09-04 13:54:00","22"
"203","2018-09-05 12:24:00","22"
"204","2018-09-06 13:38:00","22"
"205","2018-09-07 10:58:00","22"
"206","2018-09-08 13:38:00","22"
"207","2018-09-09 07:26:00","22"
"208","2018-09-10 07:14:00","22"
"209","2018-09-11 13:04:00","22"
"210","2018-09-12 13:41:00","22"
"211","2018-09-13 13:08:00","22"
"212","2018-09-14 13:10:00","22"
"213","2018-09-15 09:38:00","22"
"214","2018-09-16 10:25:00","22"
"215","2018-09-17 14:27:00","22"
"216","2018-09-18 13:22:00","22"
"217","2018-09-19 14:02:00","22"
"218","2018-09-20 13:56:00","22"
"219","2018-09-21 12:52:00","22"
"220","2018-09-22 11:38:00","22"
"221","2018-09-23 10:30:00","22"
"222","2018-09-24 13:37:00","22"
"223","2018-09-25 13:49:00","22"
"224","2018-09-26 11:33:00","22"
"225","2018-09-27 14:24:00","22"
"226","2018-09-28 13:43:00","22"
"227","2018-09-29 13:40:00","22"
"228","2018-09-30 13:57:00","22"
"229","2018-10-01 14:57:00","22"
"230","2018-10-02 14:28:00","22"
"231","2018-10-03 14:26:00","22"
"232","2018-10-04 13:23:00","22"
"233","2018-10-05 08:12:00","22"
"234","2018-10-06 13:58:00","22"
"235","2018-10-07 12:25:00","22"
"236","2018-10-08 14:29:00","22"
"237","2018-10-09 07:20:00","22"
"238","2018-10-10 07:52:00","22"
"239","2018-10-11 14:05:00","22"
"240","2018-10-12 11:04:00","22"
"241","2018-10-13 09:08:00","22"
"242","2018-10-14 13:38:00","22"
"243","2018-10-15 12:21:00","22"
"244","2018-10-16 12:12:00","22"
"245","2018-10-17 14:30:00","22"
"246","2018-10-18 09:15:00","22"
"247","2018-10-19 07:31:00","22"
"248","2018-10-20 15:04:00","22"
"249","2018-10-21 10:34:00","22"
"250","2018-10-22 11:10:00","22"
"251","2018-10-23 12:43:00","22"
"252","2018-10-24 09:47:00","22"
"253","2018-10-25 09:19:00","22"
"254","2018-10-26 07:06:00","22"
"255","2018-10-27 06:44:00","22"
"256","2018-10-28 08:02:00","22"
"257","2018-10-29 06:42:00","22"
"258","2018-10-30 08:14:00","22"
"259","2018-10-31 07:46:00","22"
"260","2018-11-01 10:04:00","22"
"261","2018-11-02 06:44:00","22"
"262","2018-11-03 13:18:00","22"
"263","2018-11-04 07:36:00","22"
"264","2018-11-05 15:04:00","22"
"265","2018-11-06 07:05:00","22"
"266","2018-11-07 07:29:00","22"
"267","2018-11-08 13:08:00","22"
"268","2018-11-09 09:07:00","22"
"269","2018-11-10 06:36:00","22"
"270","2018-11-11 14:32:00","22"
"271","2018-11-12 11:08:00","22"
"272","2018-11-13 08:23:00","22"
"273","2018-11-14 13:28:00","22"
"274","2018-11-15 15:04:00","22"
"275","2018-11-16 09:05:00","22"
"276","2018-11-17 07:22:00","22"
"277","2018-11-18 11:13:00","22"
"278","2018-11-19 10:20:00","22"
"279","2018-11-20 06:35:00","22"
"280","2018-11-21 06:41:00","22"
"281","2018-11-22 12:03:00","22"
"282","2018-11-23 11:19:00","22"
"283","2018-11-24 09:13:00","22"
"284","2018-11-25 15:04:00","22"
"285","2018-11-26 13:21:00","22"
"286","2018-11-27 09:39:00","22"
"287","2018-11-28 15:11:00","22"
"288","2018-11-29 08:10:00","22"
"289","2018-11-30 11:21:00","22"
"290","2018-12-01 14:21:00","22"
"291","2018-12-02 06:40:00","22"
"292","2018-12-03 08:03:00","22"
"293","2018-12-04 12:13:00","22"
"294","2018-12-05 09:15:00","22"
"295","2018-12-06 11:33:00","22"
"296","2018-12-07 11:20:00","22"
"297","2018-12-08 09:30:00","22"
"298","2018-12-09 06:47:00","22"
"299","2018-12-10 15:05:00","22"
"300","2018-12-11 08:45:00","22"
"301","2018-12-12 10:25:00","22"
"302","2018-12-13 06:36:00","22"
"303","2018-12-14 14:06:00","22"
"304","2018-12-15 08:33:00","22"
"305","2018-12-16 14:22:00","22"
"306","2018-12-17 06:43:00","22"
"307","2018-12-18 10:07:00","22"
"308","2018-12-19 10:03:00","22"
"309","2018-12-20 15:09:00","22"
"310","2018-12-21 14:09:00","6.92612544027032"
"311","2018-12-22 13:07:00","4.11117482098068"
"312","2018-12-23 08:14:00","1.99128941198685"
"313","2018-12-24 11:02:00","2.50244120412029"
"314","2018-12-25 11:05:00","2.45360990470715"
"315","2018-12-26 13:12:00","4.71470326611479"
"316","2018-12-27 15:05:00","6.62211433169005"
"317","2018-12-28 10:12:00","2.09663102893958"
"318","2018-12-29 13:09:00","3.26289011161969"
"319","2018-12-30 14:04:00","5.09657922837487"
"320","2018-12-31 07:24:00","1.98134429222522"
"321","2019-01-01 13:25:00","2.82298422889116"
