"","","file.avg"
"162","2018-07-24 07:34:00",NA
"163","2018-07-25 07:59:00","4.77"
"164","2018-07-26 08:09:00","4.5"
"165","2018-07-27 00:00:00","4.5"
"166","2018-07-28 07:27:00",NA
"167","2018-07-29 11:38:00",NA
"168","2018-07-30 06:40:00",NA
"169","2018-07-31 08:09:00","4.6"
"170","2018-08-02 07:21:00",NA
"171","2018-08-03 09:03:00",NA
"172","2018-08-04 13:18:00","5.56"
"173","2018-08-05 10:25:00",NA
"174","2018-08-06 07:17:00",NA
"175","2018-08-07 08:08:00","5.16"
"176","2018-08-08 06:37:00","5.16"
"177","2018-08-09 07:27:00",NA
"178","2018-08-10 13:23:00",NA
"179","2018-08-11 09:25:00","6.16"
"180","2018-08-12 13:16:00",NA
"181","2018-08-13 13:40:00",NA
"182","2018-08-14 07:23:00",NA
"183","2018-08-15 12:02:00",NA
"184","2018-08-16 09:02:00","5.12"
"185","2018-08-17 07:33:00","5.12"
"186","2018-08-19 12:40:00",NA
"187","2018-08-20 07:02:00",NA
"188","2018-08-21 10:28:00","5.95"
"189","2018-08-22 07:40:00","5.95"
"190","2018-08-23 08:40:00","5.67"
"191","2018-08-24 13:14:00",NA
"192","2018-08-25 10:48:00","6.7"
"193","2018-08-26 12:54:00",NA
"194","2018-08-27 08:25:00",NA
"195","2018-08-28 07:57:00",NA
"196","2018-08-29 11:05:00",NA
"197","2018-08-30 13:44:00","5.88"
"198","2018-08-31 13:45:00",NA
"199","2018-09-01 11:02:00","6.41"
"200","2018-09-02 07:59:00","6.41"
"201","2018-09-03 06:48:00",NA
"202","2018-09-04 13:54:00","5.06"
"203","2018-09-05 12:24:00",NA
"204","2018-09-06 13:38:00","4.65"
"205","2018-09-07 10:58:00",NA
"206","2018-09-08 13:38:00","5.97"
"207","2018-09-09 07:26:00","5.97"
"208","2018-09-10 07:14:00",NA
"209","2018-09-11 13:04:00","5.34"
"210","2018-09-12 13:41:00",NA
"211","2018-09-13 13:08:00","5.17"
"212","2018-09-14 13:10:00",NA
"213","2018-09-15 09:38:00","5.74"
"214","2018-09-16 10:25:00",NA
"215","2018-09-17 14:27:00",NA
"216","2018-09-18 13:22:00","5.53"
"217","2018-09-19 14:02:00",NA
"218","2018-09-20 13:56:00","5.07"
"219","2018-09-21 12:52:00",NA
"220","2018-09-22 11:38:00","5.89"
"221","2018-09-23 10:30:00",NA
"222","2018-09-24 13:37:00",NA
"223","2018-09-25 13:49:00","4.9"
"224","2018-09-26 11:33:00",NA
"225","2018-09-27 14:24:00",NA
"226","2018-09-28 13:43:00",NA
"227","2018-09-29 13:40:00",NA
"228","2018-09-30 13:57:00",NA
"229","2018-10-01 14:57:00",NA
"230","2018-10-02 14:28:00",NA
"231","2018-10-03 14:26:00",NA
"232","2018-10-04 13:23:00",NA
"233","2018-10-05 08:12:00",NA
"234","2018-10-06 13:58:00",NA
"235","2018-10-07 12:25:00",NA
"236","2018-10-08 14:29:00",NA
"237","2018-10-09 07:20:00",NA
"238","2018-10-10 07:52:00",NA
"239","2018-10-11 14:05:00",NA
"240","2018-10-12 11:04:00",NA
"241","2018-10-13 09:08:00",NA
"242","2018-10-14 13:38:00",NA
"243","2018-10-15 12:21:00",NA
"244","2018-10-16 12:12:00","5.04"
"245","2018-10-17 14:30:00",NA
"246","2018-10-18 09:15:00","4.88"
"247","2018-10-19 07:31:00","4.88"
"248","2018-10-20 15:04:00","6.1"
"249","2018-10-21 10:34:00",NA
"250","2018-10-22 11:10:00",NA
"251","2018-10-23 12:43:00","4.72"
"252","2018-10-24 09:47:00",NA
"253","2018-10-25 09:19:00","5.05"
"254","2018-10-26 07:06:00","5.05"
"255","2018-10-27 06:44:00",NA
"256","2018-10-28 08:02:00",NA
"257","2018-10-29 06:42:00",NA
"258","2018-10-30 08:14:00","5.41"
"259","2018-10-31 07:46:00","5.41"
"260","2018-11-01 10:04:00","5.8"
"261","2018-11-02 06:44:00","5.8"
"262","2018-11-03 13:18:00","6.2"
"263","2018-11-04 07:36:00",NA
"264","2018-11-05 15:04:00",NA
"265","2018-11-06 07:05:00",NA
"266","2018-11-07 07:29:00","5.2"
"267","2018-11-08 13:08:00","5.48"
"268","2018-11-09 09:07:00",NA
"269","2018-11-10 06:36:00",NA
"270","2018-11-11 14:32:00",NA
"271","2018-11-12 11:08:00",NA
"272","2018-11-13 08:23:00",NA
"273","2018-11-14 13:28:00",NA
"274","2018-11-15 15:04:00","4.88"
"275","2018-11-16 09:05:00",NA
"276","2018-11-17 07:22:00",NA
"277","2018-11-18 11:13:00",NA
"278","2018-11-19 10:20:00",NA
"279","2018-11-20 06:35:00",NA
"280","2018-11-21 06:41:00","5.07"
"281","2018-11-22 12:03:00","4.57"
"282","2018-11-23 11:19:00",NA
"283","2018-11-24 09:13:00","5.73"
"284","2018-11-25 15:04:00",NA
"285","2018-11-26 13:21:00",NA
"286","2018-11-27 09:39:00","5.21"
"287","2018-11-28 15:11:00",NA
"288","2018-11-29 08:10:00","4.85"
"289","2018-11-30 11:21:00",NA
"290","2018-12-01 14:21:00","5.5"
"291","2018-12-02 06:40:00","5.5"
"292","2018-12-03 08:03:00",NA
"293","2018-12-04 12:13:00",NA
"294","2018-12-05 09:15:00",NA
"295","2018-12-06 11:33:00",NA
"296","2018-12-07 11:20:00",NA
"297","2018-12-08 09:30:00",NA
"298","2018-12-09 06:47:00",NA
"299","2018-12-10 15:05:00",NA
"300","2018-12-11 08:45:00","4.33"
"301","2018-12-12 10:25:00",NA
"302","2018-12-13 06:36:00",NA
"303","2018-12-14 14:06:00",NA
"304","2018-12-15 08:33:00","4.94"
"305","2018-12-16 14:22:00",NA
"306","2018-12-17 06:43:00",NA
"307","2018-12-18 10:07:00","5.18"
"308","2018-12-19 10:03:00",NA
"309","2018-12-20 15:09:00","4.67"
"310","2018-12-21 14:09:00",NA
"311","2018-12-22 13:07:00","5.13"
"312","2018-12-23 08:14:00",NA
"313","2018-12-24 11:02:00",NA
"314","2018-12-25 11:05:00","6.33"
"315","2018-12-26 13:12:00",NA
"316","2018-12-27 15:05:00","4.91"
"317","2018-12-28 10:12:00",NA
"318","2018-12-29 13:09:00","5.1"
"319","2018-12-30 14:04:00",NA
"320","2018-12-31 07:24:00",NA
"321","2019-01-01 13:25:00","6.81"
"322","2019-01-02 07:17:00","6.81"
"323","2019-01-03 09:23:00","4.45"
"324","2019-01-04 14:10:00",NA
"325","2019-01-05 14:14:00","4.69"
"326","2019-01-06 09:21:00",NA
"327","2019-01-07 11:30:00",NA
"328","2019-01-08 12:39:00","5.55"
"329","2019-01-09 08:37:00",NA
"330","2019-01-10 07:20:00",NA
"331","2019-01-11 12:24:00",NA
"332","2019-01-12 11:21:00","5.65"
"333","2019-01-13 06:40:00","5.65"
"334","2019-01-14 06:44:00",NA
"335","2019-01-15 10:17:00","4.68"
"336","2019-01-16 09:37:00",NA
"337","2019-01-17 08:28:00","4.61"
"338","2019-01-18 12:19:00",NA
"339","2019-01-19 09:34:00","5.3"
"340","2019-01-20 09:12:00",NA
"341","2019-01-21 06:40:00",NA
"342","2019-01-22 09:29:00","4.85"
"343","2019-01-23 14:15:00",NA
"344","2019-01-24 06:36:00",NA
"345","2019-01-25 09:27:00",NA
"346","2019-01-26 06:45:00",NA
"347","2019-01-27 15:06:00",NA
"348","2019-01-28 11:06:00",NA
"349","2019-01-29 14:05:00","5.68"
"350","2019-01-30 10:12:00",NA
"351","2019-01-31 07:10:00",NA
"352","2019-02-01 11:53:00",NA
