"","Timestamp","Value"
"155",2019-09-10 07:37:00,130
"156",2019-09-11 22:18:00,579
"157",2019-09-12 13:24:00,114
"158",2019-09-13 02:30:00,770
"159",2019-09-14 14:09:00,104
"160",2019-09-15 10:25:00,29
"161",2019-09-16 07:22:00,62
"162",2019-09-17 08:22:00,21
"163",2019-09-18 08:39:00,56
"164",2019-09-19 06:38:00,37
"165",2019-09-20 08:50:00,28
"166",2019-09-21 15:09:00,36
"167",2019-09-22 10:17:00,45
"168",2019-09-23 08:37:00,38
"169",2019-09-24 07:08:00,35
"170",2019-09-25 08:42:00,31
"171",2019-09-26 10:32:00,38
"172",2019-09-27 14:43:00,24
"173",2019-09-28 13:12:00,46
"174",2019-09-29 15:15:00,39
"175",2019-09-30 13:29:00,36
"176",2019-10-01 07:54:00,91
"177",2019-10-02 12:28:00,50
"178",2019-10-03 07:48:00,47
"179",2019-10-04 10:13:00,46
"180",2019-10-05 10:21:00,69
"181",2019-10-06 15:11:00,96
"182",2019-10-07 14:14:00,74
"183",2019-10-08 06:50:00,88
"184",2019-10-09 10:09:00,82
"185",2019-10-10 13:16:00,75
"186",2019-10-11 14:32:00,75
"187",2019-10-12 07:21:00,132
"188",2019-10-13 14:28:00,63
"189",2019-10-14 06:44:00,72
"190",2019-10-15 11:22:00,114
"191",2019-10-16 11:23:00,68
"192",2019-10-17 13:28:00,44
"193",2019-10-18 13:13:00,76
"194",2019-10-19 12:32:00,82
"195",2019-10-20 10:03:00,33
"196",2019-10-21 18:11:00,119
"197",2019-10-22 06:43:00,291
"198",2019-10-23 12:45:00,166
"199",2019-10-24 14:12:00,110
"200",2019-10-25 11:17:00,140
"201",2019-10-26 14:17:00,96
"202",2019-10-27 10:34:00,58
"203",2019-10-28 14:47:00,99
"204",2019-10-29 07:00:00,236
"205",2019-10-30 08:12:00,82
"206",2019-10-31 07:48:00,140
"207",2019-11-01 11:13:00,96
"208",2019-11-02 10:28:00,72
"209",2019-11-03 09:31:00,51
"210",2019-11-04 11:34:00,71
"211",2019-11-05 12:26:00,246
"212",2019-11-06 11:52:00,46
"213",2019-11-07 11:30:00,40
"214",2019-11-08 09:00:00,27
"215",2019-11-09 11:28:00,36
"216",2019-11-10 15:11:00,114
"217",2019-11-11 13:18:00,17
"218",2019-11-12 13:13:00,23
"219",2019-11-13 09:17:00,23
"220",2019-11-14 11:27:00,28
"221",2019-11-15 09:29:00,28
"222",2019-11-16 07:51:00,31
"223",2019-11-17 14:16:00,21
"224",2019-11-18 11:41:00,37
"225",2019-11-19 07:44:00,37
"226",2019-11-20 06:50:00,53
"227",2019-11-21 07:46:00,44
"228",2019-11-22 10:15:00,50
"229",2019-11-23 14:16:00,75
"230",2019-11-24 13:46:00,64
"231",2019-11-25 09:31:00,62
"232",2019-11-26 15:16:00,38
"233",2019-11-27 11:37:00,26
"234",2019-11-28 12:10:00,32
"235",2019-11-29 06:40:00,25
"236",2019-11-30 15:17:00,39
"237",2019-12-01 12:31:00,17
"238",2019-12-02 14:12:00,36
"239",2019-12-03 06:46:00,21
"240",2019-12-04 07:46:00,17
"241",2019-12-05 08:39:00,31
"242",2019-12-06 14:29:00,24
"243",2019-12-07 12:16:00,32
"244",2019-12-08 09:10:00,22
"245",2019-12-09 13:21:00,20
"246",2019-12-10 06:41:00,60
"247",2019-12-11 07:51:00,52
"248",2019-12-12 14:17:00,36
"249",2019-12-13 09:27:00,125
"250",2019-12-14 13:25:00,73
"251",2019-12-15 14:12:00,75
"252",2019-12-16 07:18:00,49
"253",2019-12-17 13:41:00,48
"254",2019-12-18 12:39:00,81
"255",2019-12-19 09:30:00,86
"256",2019-12-20 10:30:00,124
"257",2019-12-21 11:31:00,110
"258",2019-12-22 09:23:00,64
"259",2019-12-23 13:11:00,26
"260",2019-12-24 06:30:00,96
"261",2019-12-25 13:21:00,47
"262",2019-12-26 13:18:00,39
"263",2019-12-27 09:23:00,28
"264",2019-12-28 06:56:00,53
"265",2019-12-29 09:59:00,18
"266",2019-12-30 08:28:00,26
"267",2019-12-31 10:19:00,34
"268",2020-01-01 07:10:00,70
"269",2020-01-02 12:12:00,40
"270",2020-01-03 13:16:00,91
"271",2020-01-04 13:22:00,107
"272",2020-01-05 13:23:00,64
"273",2020-01-06 14:58:00,32
"274",2020-01-07 07:48:00,48
"275",2020-01-08 11:14:00,62
"276",2020-01-09 10:16:00,82
"277",2020-01-10 12:13:00,64
"278",2020-01-11 11:42:00,58
"279",2020-01-12 11:09:00,29
"280",2020-01-13 13:09:00,42
"281",2020-01-14 14:24:00,80
"282",2020-01-15 09:20:00,66
"283",2020-01-16 07:27:00,73
"284",2020-01-17 07:26:00,50
"285",2020-01-18 06:24:00,79
"286",2020-01-19 13:43:00,49
"287",2020-01-20 07:51:00,44
"288",2020-01-21 12:43:00,81
"289",2020-01-22 14:14:00,26
"290",2020-01-23 14:37:00,66
"291",2020-01-24 06:42:00,65
"292",2020-01-25 09:28:00,37
"293",2020-01-26 10:43:00,32
"294",2020-01-27 09:30:00,17
"295",2020-01-28 12:19:00,37
"296",2020-01-29 13:38:00,63
"297",2020-01-30 15:06:00,53
"298",2020-01-31 08:28:00,46
"299",2020-02-01 10:26:00,56
"300",2020-02-02 11:26:00,35
"301",2020-02-03 11:26:00,56
"302",2020-02-04 15:14:00,30
"303",2020-02-05 13:32:00,66
"304",2020-02-06 12:13:00,51
"305",2020-02-07 08:11:00,41
"306",2020-02-08 11:21:00,51
"307",2020-02-09 09:48:00,38
"308",2020-02-10 14:01:00,50
"309",2020-02-11 15:08:00,84
"310",2020-02-12 11:37:00,99
"311",2020-02-13 14:11:00,56
"312",2020-02-14 13:36:00,46
"313",2020-02-15 09:09:00,46
"314",2020-02-16 06:50:00,46
"315",2020-02-18 06:45:00,111
"316",2020-02-19 15:07:00,89
"317",2020-02-20 14:28:00,66
"318",2020-02-21 06:38:00,60
"319",2020-02-22 14:15:00,50
"320",2020-02-23 10:34:00,46
"321",2020-02-24 14:31:00,40
"322",2020-02-25 12:16:00,49
"323",2020-02-26 11:10:00,84
"324",2020-02-27 07:21:00,36
"325",2020-02-28 15:08:00,70
